Export;EXP-2023-01 (20230707 10:54);;;StationsCode;NL01485;NL01489;NL01493;NL01494;NL01495;NL01496;NL10107;NL10131;NL10133;NL10137;NL10227;NL10230;NL10235;NL10236;NL10241;NL10247;NL10301;NL10318;NL10404;NL10411;NL10411;NL10418;NL10433;NL10437;NL10441;NL10442;NL10444;NL10520;NL10537;NL10538;NL10544;NL10620;NL10631;NL10633;NL10639;NL10639;NL10641;NL10722;NL10738;NL10742;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10938;NL49003;NL49012;NL49014;NL49562;NL49564
Periode;20100101 00:00 - 20110101 00:00;;;BeheerderMeetStation;DCMR;DCMR;DCMR;DCMR;DCMR;DCMR;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Hoogvliet-Leemkuil;Ridderkerk-Hogeweg;Rotterdam Noord -Statenweg;Schiedam-Alphons Arienstraat;Maassluis-Kwartellaan;Hoek v. Holland-Berghaven;Posterholt-Vlodropperweg;Vredepeel-Vredeweg;Wijnandsrade-Opfergeltstraat;Heerlen-Deken Nicolayestraat;Budel-Toom;Biest Houtakker-Biestsestraat;Huijbergen-Vennekenstraat;Eindhoven-Genovevalaan;Breda-Bastenakenstraat;Veldhoven-Europalaan;Zierikzee-Lange Slikweg;Philippine-Stelleweg;Den Haag-Rebecquestraat;Schipluiden-Groeneveld;Schipluiden-Groeneveld;Rotterdam-Schiedamsevest;Vlaardingen-Floreslaan;Westmaas-Groeneweg;Dordrecht-Frisostraat;Dordrecht-Bamendaweg;De Zilk-Vogelaarsdreef;Amsterdam-Florapark;Haarlem-Amsterdamsevaart;Wieringerwerf-Medemblikkerweg;Amsterdam-Prins Bernhardplein;Cabauw-Zijdeweg;Biddinghuizen-Hoekwantweg;Zegveld-Oude Meije;Utrecht-Constant Erzeijstraat;Utrecht-Constant Erzeijstraat;Breukelen-Snelweg;Eibergen-Lintveldseweg;Wekerom-Riemterdijk;Nijmegen-Ruyterstraat;Nijmegen-Ruyterstraat;Hellendoorn-Luttenbergerweg;Barsbeek-De Veenen;Balk-Trophornsterweg;Valthermond-Noorderdiep;Kollumerwaard-Hooge Zuidwal;Groningen-Nijensteinheerd;Amsterdam-Nieuwendammerdijk;Amsterdam-Van Diemenstraat;Amsterdam-Vondelpark;Oude Meer-Fokkerweg;Hoofddorp-Hoofdweg
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.867411,4.355242);(51.869431,4.580058);(51.927111,4.461344);(51.921389,4.401389);(51.932039,4.228025);(51.977803,4.121944);(51.119194,6.042399);(51.54052,5.85307);(50.902281,5.881748);(50.88487,5.977283);(51.26671,5.56116);(51.51844,5.14845);(51.434443,4.359835);(51.468662,5.47235);(51.60308,4.781016);(51.407365,5.393328);(51.634706,3.916623);(51.294498,3.749484);(52.077148,4.289185);(51.992621,4.280673);(51.992621,4.280673);(51.914233,4.479923);(51.910474,4.326303);(51.786579,4.450529);(51.80439,4.67018);(51.800658,4.708239);(52.296556,4.510817);(52.39093,4.917294);(52.38104,4.64759);(52.803657,5.050509);(52.348572,4.919536);(51.969002,4.928);(52.44871,5.61921);(52.13795,4.83819);(52.067748,5.120507);(52.067748,5.120507);(52.20153,4.987444);(52.091801,6.605367);(52.111621,5.708419);(51.838221,5.856938);(51.838221,5.856938);(52.388272,6.402933);(52.654144,6.017571);(52.916915,5.573491);(52.875725,6.932432);(53.330425,6.276815);(53.246535,6.608937);(52.389314,4.943822);(52.389983,4.887811);(52.359714,4.866208);(52.287275,4.76749);(52.327464,4.715008)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad;stad;stad;stad;voorstad;regionaal;regionaal;voorstad;stad;regionaal;regionaal;regionaal;stad;stad;voorstad;regionaal;regionaal;stad;voorstad;voorstad;stad;stad;regionaal;stad;stad;regionaal;stad;stad;regionaal;stad;regionaal;regionaal;regionaal;stad;stad;regionaal;regionaal;regionaal;stad;stad;regionaal;regionaal;regionaal;regionaal;regionaal;voorstad;stad;stad;stad;regionaal;regionaal
;;;;StationsType;achtergrond;verkeer;verkeer;achtergrond;achtergrond;industrie;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;verkeer;verkeer;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;verkeer;achtergrond
;;;;Meetprincipe;Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P)
;;;;Meetopstelling;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49i O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49i O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49i O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49i O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49i O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49w O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser
;;;;Accreditatienummer;L520;L520;L520;L520;L520;L520;nvt;nvt;nvt;nvt;nvt;nvt;nvt;nvt;nvt;L224;nvt;nvt;nvt;nvt;L224;nvt;nvt;nvt;nvt;L224;nvt;nvt;nvt;nvt;nvt;nvt;nvt;nvt;nvt;L224;nvt;nvt;nvt;nvt;L224;nvt;nvt;nvt;nvt;nvt;nvt;L426;L426;L426;L426;L426
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01485;NL01489;NL01493;NL01494;NL01495;NL01496;NL10107;NL10131;NL10133;NL10137;NL10227;NL10230;NL10235;NL10236;NL10241;NL10247;NL10301;NL10318;NL10404;NL10411;NL10411;NL10418;NL10433;NL10437;NL10441;NL10442;NL10444;NL10520;NL10537;NL10538;NL10544;NL10620;NL10631;NL10633;NL10639;NL10639;NL10641;NL10722;NL10738;NL10742;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10938;NL49003;NL49012;NL49014;NL49562;NL49564
O3;uur;µg/m³;20100101 00:00;20100101 01:00;;48.7;45;46.7;57.2;51;36.38;;26.275;21.489;35.496;46.08;;35.005;;;44.108;50.696;39.152;36.188;;36.306;;55.674;45.782;;;49.374;34.046;65.246;;58.125;56.804;58.413;;;58.371;65.352;61.856;38.054;;58.157;53.105;69.605;58.754;;53.808;37;;29;50;52
